lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
33.7722,-118.094,9473,8979,8979,8975,01-01-2019 00:00,14-01-2020 23:51,PPA
34.1787,-116.1,10018,8938,8938,8939,01-01-2019 00:00,14-01-2020 23:16,PPA
34.1787,-116.1,10019,8938,8938,8938,01-01-2019 00:00,14-01-2020 23:14,PPA
34.0458,-117.175,10022,565,565,565,01-01-2019 00:00,05-06-2019 15:29,PPA
34.0458,-117.175,10023,565,565,565,01-01-2019 00:00,05-06-2019 15:29,PPA
33.7206,-117.417,10204,8939,8939,8941,01-01-2019 00:09,14-01-2020 23:06,PPA
33.7206,-117.417,10205,8942,8942,8942,13-03-2019 17:01,14-01-2020 23:08,PPA
34.559,-117.152,11136,47,47,47,01-01-2019 01:28,02-01-2020 05:58,PPA
34.559,-117.152,11137,223,223,223,01-01-2019 01:28,02-01-2020 05:58,PPA
34.2553,-116.822,12000,7616,7616,7616,01-01-2019 00:00,14-01-2020 23:21,PPA
34.2553,-116.822,12001,7286,7286,7286,01-01-2019 00:00,14-01-2020 23:19,PPA
33.8343,-117.541,12064,9002,9002,9003,01-01-2019 00:00,14-01-2020 23:19,PPA
33.8343,-117.541,12065,9003,9003,9002,01-01-2019 00:00,14-01-2020 23:20,PPA
32.6808,-115.48,12108,7595,7595,7595,01-01-2019 00:00,10-01-2020 18:00,PPA
32.6808,-115.48,12109,7595,7595,7595,01-01-2019 00:00,10-01-2020 18:00,PPA
32.7919,-115.563,12122,6938,6938,6938,01-01-2019 00:00,14-01-2020 23:00,PPA
32.7919,-115.563,12123,6937,6937,6938,01-01-2019 00:00,14-01-2020 23:00,PPA
37.1603,-118.289,12148,128,128,129,12-01-2019 11:52,04-09-2019 21:01,PPA
37.1603,-118.289,12149,129,129,129,08-01-2019 20:22,04-09-2019 21:01,PPA
32.6918,-115.471,12152,7211,7211,7210,04-02-2019 05:29,14-01-2020 23:18,PPA
32.6918,-115.471,12153,7211,7211,7211,04-02-2019 05:29,14-01-2020 23:18,PPA
33.7704,-118.087,12216,7496,7496,7496,04-03-2019 19:25,14-01-2020 23:20,PPA
33.7704,-118.087,12217,7496,7496,7497,04-03-2019 19:25,14-01-2020 23:20,PPA
33.7677,-116.479,12401,8848,8848,8846,01-01-2019 00:01,14-01-2020 23:17,PPA
33.7677,-116.479,12402,8847,8847,8846,01-01-2019 00:01,14-01-2020 23:20,PPA
32.859,-117.198,12712,8873,8873,8873,01-01-2019 00:01,14-01-2020 23:16,PPA
32.743,-117.237,12831,8180,8180,8179,02-01-2019 23:00,14-01-2020 23:33,PPA
32.743,-117.237,12832,8179,8179,8179,01-01-2019 00:00,14-01-2020 23:33,PPA
34.1361,-117.659,12865,8914,8914,8915,01-01-2019 00:01,14-01-2020 23:16,PPA
34.1361,-117.659,12866,8915,8915,8916,05-02-2019 06:01,14-01-2020 23:16,PPA
33.0738,-117.206,12971,8319,8319,8317,01-01-2019 00:01,14-01-2020 23:01,PPA
33.0738,-117.206,12972,8318,8318,8317,01-01-2019 00:01,14-01-2020 23:01,PPA
33.6648,-117.854,13119,3554,3554,3554,01-01-2019 00:18,31-05-2019 20:00,PPA
33.6648,-117.854,13120,3554,3554,3555,01-01-2019 00:00,31-05-2019 20:00,PPA
33.0547,-117.293,13511,8665,8665,8665,01-01-2019 00:01,14-01-2020 23:55,PPA
33.0547,-117.293,13512,8665,8665,8665,01-01-2019 00:00,14-01-2020 23:53,PPA
32.8701,-117.252,13519,5611,5611,5611,01-01-2019 00:00,23-08-2019 18:01,PPA
32.8701,-117.252,13520,5611,5611,5611,01-01-2019 00:00,23-08-2019 18:01,PPA
32.8695,-117.252,13523,8070,8070,8054,01-01-2019 00:00,03-12-2019 17:01,PPA
32.8695,-117.252,13524,8049,8049,8040,01-01-2019 00:00,03-12-2019 17:00,PPA
34.9081,-116.663,13943,9003,9003,9003,01-01-2019 00:01,14-01-2020 23:21,PPA
34.9081,-116.663,13944,9003,9003,9004,01-01-2019 00:00,14-01-2020 23:21,PPA
33.0261,-117.044,14269,7919,7919,7919,01-01-2019 00:00,28-11-2019 00:01,PPA
33.0261,-117.044,14270,7919,7919,7920,01-01-2019 00:00,28-11-2019 00:01,PPA
34.1429,-117.673,14311,9003,9003,9002,01-01-2019 00:00,14-01-2020 23:18,PPA
34.1429,-117.673,14312,9002,9002,9002,01-01-2019 00:00,14-01-2020 23:18,PPA
34.8509,-116.679,14491,8983,8983,8986,01-01-2019 00:01,14-01-2020 23:07,PPA
34.8509,-116.679,14492,8987,8987,8986,01-01-2019 00:01,14-01-2020 23:07,PPA
